l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
12,0.0002964080730780631,0.002964080730780631,0.013769502303899114,0.03785939478860715,0.0926140497426639,0.1840155210045539,0.3122793780819703,0.4875643340249522,0.6690738595025734,0.8348198647301339,0.9510387755651963,0.9932903990730512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.00010906033914736021,0.0012572233540598468,0.0077614608026538015,0.026538015859190984,0.06592848974151184,0.13991684149140013,0.25701280701621515,0.4069450229859812,0.5705506789763476,0.7244742004135204,0.8473079515590327,0.9303452820042867,0.9760370199262328,0.9946590728356446,0.9994471246696002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,2.951206231767079e-05,0.00046924179085096557,0.004028396506362063,0.014621751275289993,0.04245310164396943,0.09532543688919254,0.17760949344020635,0.2904223028557347,0.42706757819589813,0.5742707938302083,0.7117645409620047,0.8248282029072332,0.9017956614317186,0.9517772901729259,0.9804364538896161,0.9934822610371424,0.9985450553277389,0.9998494884821799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,2.511928520562019e-06,7.410189135657956e-05,0.0006041188091951656,0.0029992426535510506,0.010249924328153318,0.027294615304426898,0.06063544255784657,0.11633745750130935,0.20003114791365498,0.30793354944291706,0.4417125826267488,0.5825865579169079,0.7147843320970458,0.8227570676248837,0.9027506873264415,0.9508603983165055,0.9778900051620131,0.991078885859224,0.9974328090519856,0.9995528767233399,0.999977392643315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.0,2.1670212508301603e-05,9.942803386161913e-05,0.0005506783413874289,0.0021861420265727794,0.007084884771831783,0.019779805146548,0.04857059454140094,0.10181048251914945,0.1849157474884861,0.29873790132914885,0.42852972707004705,0.5713517241203487,0.6998956005644453,0.804394464153007,0.8827463042727286,0.9347089244308701,0.9645080160665505,0.9813419470303523,0.9910693230098141,0.996064944352169,0.9988693247944198,0.999847033794059,0.9999974505632343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.4974879639404898e-06,1.6472367603345388e-05,6.888444634126253e-05,0.0002470855140501808,0.0009194576098594607,0.00302642317512373,0.008207731530357825,0.019374499277462057,0.0426799044602679,0.08379343651025405,0.1478260218483494,0.23603854534019184,0.3435267339038762,0.4663162544831046,0.5927596456943477,0.7105535464258707,0.8098489783388366,0.8857266934717012,0.9372552543108935,0.9691442605030062,0.9863938243596367,0.9945206915399417,0.9980412857431659,0.9994339495496305,0.9998876884027045,0.9999895175842524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.0,0.0,4.431504451446221e-06,2.8066194859159402e-05,0.00014180814244627908,0.0006041617735471682,0.001963156471990676,0.005726980919419001,0.014148316545317303,0.03227169258358187,0.06624656004466957,0.1211898294018503,0.19882240155043568,0.2981663911748066,0.41009142193683334,0.5279561458319485,0.6442860920187128,0.7455164253712493,0.8323266432387798,0.9000208280709218,0.9456416892304101,0.9729102132883093,0.987439639216451,0.9947486672250362,0.9978832180403592,0.9991919890216863,0.9997813791137287,0.9999438676102816,0.9999911369910971,0.9999985228318495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.0,0.0,6.28703456297251e-06,1.7289345048174403e-05,7.072913883344074e-05,0.00024205083067444164,0.000690002043286233,0.001750939125787844,0.00437734781446961,0.01065495182559766,0.023612530059884004,0.04813982364868051,0.09008220297691087,0.15389560379108183,0.24089873159077693,0.347390094777046,0.46622447856907095,0.5863131257564088,0.6972148436886032,0.7912515914056237,0.8656224950096664,0.9195699668358926,0.9557832859186144,0.97777061754397,0.9899596058029329,0.99583326784339,0.9986168523961461,0.9995143265800104,0.9998852616192258,0.9999795671376703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.0,0.0,7.82268170916208e-06,1.564536341832416e-05,5.78878446477994e-05,0.00018930889736172238,0.0004005213035090986,0.0008370269428803426,0.0019181215550865423,0.004186699250743546,0.008910034466735611,0.01776843923419075,0.03471706142526132,0.06398014916289484,0.11039211974335346,0.17739651765501036,0.2665829118211672,0.3711048912099655,0.4844821462935352,0.5968565335819903,0.6996809910399003,0.7869461345782871,0.8557434911376839,0.909629251823076,0.9480167155062761,0.972617484945249,0.9869001372098372,0.9946633665380096,0.9979973934824545,0.9993773145359507,0.9998310300750821,0.9999671447368215,0.9999968709273164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0.0,0.0,1.6708744855795178e-06,8.354372427897588e-06,2.3392242798113248e-05,7.351847736549878e-05,0.0001971631892983831,0.0005012623456738554,0.0010342713065737215,0.001946568775700138,0.0037344044752702222,0.007281671008155539,0.014055396172694903,0.026063971100554896,0.047132027489227034,0.08137660007117925,0.1326356875397877,0.20380992800201841,0.29457015918421225,0.40088790270163693,0.5152141476284443,0.6270106885840843,0.726573086556311,0.8094133726768579,0.8738272549704339,0.9205950318218046,0.9523399761733299,0.9731657557615929,0.9863322467079595,0.9936506769547978,0.9974001193004383,0.9990292219238783,0.9996758503497976,0.9999465320164614,0.9999916456275721,0.9999949873765432,0.9999983291255145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
