l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
57.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0038436899423444e-05,0.00020019218449711723,0.00032030749519538755,0.0009208840486867393,0.0017616912235746316,0.003243113388853299,0.005765534913516977,0.008528187059577193,0.013052530429212044,0.019298526585522103,0.02750640614990391,0.038957399103139015,0.05309096732863549,0.07066784112748238,0.09040679051889815,0.11274823830877642,0.13745195387572068,0.16055413196668802,0.18625880845611786,0.21388532991672005,0.24143177450352338,0.27246156310057656,0.3053331197950032,0.3422485586162716,0.38669122357463165,0.4375400384368994,0.49531550288276743,0.5610185778347213,0.6309256886611146,0.7048366431774503,0.7728219090326713,0.8360025624599615,0.8892136450992953,0.9312139654067905,0.9582399103139013,0.9769378603459321,0.989309737347854,0.9945547725816785,0.9975176169122357,0.999239269698911,0.9996796925048046,0.9999199231262011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47041471455839e-05,0.00015616866215512754,0.00048585806003817456,0.0009543640465035572,0.0017699115044247787,0.002741627624501128,0.004580947423217074,0.007513447857018914,0.011556480999479438,0.016987680027763317,0.023893805309734513,0.03322922089189658,0.04488981433281277,0.05871941697032795,0.07397188964081208,0.0931285788651744,0.11303140725316675,0.13524206142634046,0.15837237549887212,0.1814332812771126,0.20633350685406907,0.23374978309908034,0.26390768696859274,0.2978830470241194,0.33911157383307305,0.3890508415755683,0.44355370466770777,0.5044941870553531,0.5724449071664064,0.6421134825611661,0.7119555786916536,0.7769564462953323,0.8347735554398751,0.885493666493146,0.9251084504598299,0.9534270345306264,0.9740239458615304,0.9864306784660767,0.9938226618080861,0.9973798368905085,0.9991150442477876,0.9997397188964081,0.9999305917057089,0.9999826479264272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81486831335163e-06,4.81486831335163e-06,3.851894650681304e-05,0.00012518657614714237,0.0002696326255476913,0.0006211180124223603,0.0011940873417112042,0.0023978044200491117,0.0041793056959892145,0.006716741297125524,0.010713081997207377,0.015604988203572633,0.02262988107275266,0.031975540468968174,0.04365641099715923,0.05876065289614329,0.07626751408348982,0.09738071163753671,0.12095912176801965,0.1469834850016852,0.17366267032596658,0.2005392652510954,0.22774808608984545,0.2559921036159661,0.2867831864798498,0.3207424526939188,0.3603832635177428,0.40588858394722904,0.45793731041456015,0.5153979488660985,0.5763349222398767,0.6399874813423853,0.7031874428234388,0.7630940343781597,0.8175887139486735,0.8650488709133806,0.9053204294862536,0.937190042852328,0.9602532620732823,0.976228995136983,0.9865472579324955,0.9927391785834657,0.9964225528431797,0.9981703500409264,0.9991285088352834,0.9995955510616784,0.999850739082286,0.9999229621069864,0.9999759256584333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.855406822527913e-06,8.99594925256513e-06,2.5702712150186087e-05,6.554191598297453e-05,0.000177348713836284,0.000384255546645282,0.000798069212263278,0.0014843316266732465,0.0025998293339913226,0.004423436761047026,0.0069294511956901695,0.010766866119712951,0.01603720724610861,0.02324424773302079,0.03251521600559291,0.044418142002344084,0.05911880821664302,0.07678042687064339,0.09664476795591471,0.11939038307322189,0.1436318960376699,0.16946569201982192,0.1963288816235889,0.22407238911849978,0.2526255320461415,0.2838658935290852,0.3180672074517303,0.3570685028684227,0.40175138280591366,0.4524268500812206,0.5085358707050768,0.5691647132605433,0.6313459996298809,0.6941711389385808,0.7546791787469413,0.8101944667201283,0.8585541196307034,0.898953642588366,0.9312619517611498,0.9555381633870006,0.9726407480517344,0.9843457631649292,0.991569510414739,0.9958734295642876,0.9981339830978965,0.9992070713301667,0.9997172701663479,0.9998959040157918,0.9999665864742048,0.9999871486439249,0.9999987148643925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69.0,0.0,0.0,0.0,0.0,0.0,0.0,5.790351074776015e-07,5.790351074776015e-07,2.8951755373880075e-06,5.2113159672984135e-06,2.2003334084148857e-05,5.906158096271535e-05,0.0001279667587525499,0.00026288193879483106,0.0005101299296877669,0.0009461433656184008,0.001752160235227222,0.00292586439808432,0.004810623672923913,0.007534983853606028,0.011450998285477047,0.01681460048604207,0.023893883710063225,0.033207084378732966,0.045127680136374346,0.05984501546313255,0.07784895405993361,0.09849908309790731,0.12127774519096868,0.14638007517033766,0.17262020913590012,0.20005026024732905,0.22850288735856344,0.25830640337554306,0.2901099066537503,0.32554859233670197,0.36536999474815157,0.4102660608415349,0.46108044476844673,0.5170644541349186,0.5769355261778877,0.6388488550449303,0.7001015048543409,0.7584028127209381,0.8120811042894341,0.858901883080073,0.8983538610929519,0.9299877070846683,0.9541722664186852,0.9714628337630739,0.9830944910020839,0.9905692552045123,0.9950729902704731,0.9975518395655847,0.9988830412776757,0.9995506687565974,0.9998274475379717,0.9999444126296821,0.9999861031574205,0.9999976838595701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.006505552645043e-07,3.73636925790102e-06,6.938971478959037e-06,2.1884448510563117e-05,5.284293664745728e-05,0.00010755405792386507,0.0002287191752872267,0.0004523675637244449,0.00084788893802511,0.0015353808814788977,0.00262720135534126,0.004309635055470405,0.006895469465456332,0.010548037298573001,0.015679139823744786,0.022631188595106478,0.0316801411707059,0.043413408174588795,0.05788196435877365,0.07544717000720319,0.0960569828337852,0.11918510854019253,0.14473413464220128,0.1718070656343968,0.1999157715615862,0.22888437618512963,0.25852312532342947,0.28949949465605784,0.32253887358608446,0.3588142151769718,0.39901968346013417,0.44404053106617564,0.4940296822511518,0.5485571876668855,0.6062702147584984,0.6651764780609738,0.72333867011409,0.7783788587687115,0.8285433524252906,0.8722746188703194,0.908654578800428,0.9376050353447187,0.9593829973314317,0.9750167669570449,0.9854951476573098,0.9920063048562392,0.9959182834692616,0.998056821102373,0.9991758636951144,0.9996864118658547,0.9998903108739288,0.9999647713755684,0.9999903921933369,0.9999978649318526,0.9999989324659263,0.9999994662329632,0.9999997331164816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5937136284667854e-07,1.5937136284667854e-07,3.187427256933571e-07,1.4343422656201068e-06,2.7093131683935353e-06,8.76542495656732e-06,1.9443306267294783e-05,4.669580931407681e-05,9.673841724793387e-05,0.00018056775410528678,0.0003467920855543725,0.0006480039613345949,0.0011334491325655778,0.0019366808013128376,0.00322392329902546,0.005135104682282829,0.007960121460103053,0.011961777009820304,0.01749100707242297,0.02491675635290111,0.034560795632842166,0.04689215483310392,0.06224184827431892,0.0806246974932319,0.10200309084821105,0.12618243590522057,0.15251329436066027,0.18057715701569474,0.20956601106069134,0.23936797779893168,0.2698732503614144,0.3015213749668707,0.33529248549680757,0.3722352455187562,0.41329807401301716,0.4590118369892327,0.5094031494649983,0.5635637540434507,0.62001229390693,0.6773153830179932,0.7332901118197294,0.7856467919421202,0.8331176241937204,0.8742977500110365,0.9088231652013267,0.93647043111388,0.9576218796481654,0.9729591421230783,0.9836529605700904,0.9905870491961867,0.9948937415343925,0.9974103747251043,0.9987745935910719,0.9994643528494723,0.9997861236310598,0.9999204736899395,0.9999741818392188,0.9999907564609549,0.9999980875436458,0.9999995218859115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9916508006784757e-07,3.9833016013569515e-07,9.958254003392378e-07,2.1908158807463235e-06,5.178292081764037e-06,1.0754914323663769e-05,2.200774134749716e-05,4.172508427421407e-05,7.936728440703726e-05,0.00014638633384986798,0.0002725574120728494,0.0004901452620469729,0.0008799113237397505,0.0015083767338938436,0.00249553845325013,0.004018852568149062,0.006276090003098013,0.009503560125597483,0.013996823914468158,0.02011358185351189,0.02818783378200247,0.03864878044748609,0.0517266566825212,0.0677258863119915,0.08689343403518111,0.10900065834017217,0.13370678777496856,0.16071078432104774,0.18929973657430685,0.21891379149467516,0.24929742028442567,0.2803238543700951,0.31234910133230487,0.346086968818018,0.3823953604096268,0.4222514795724842,0.4662810034056233,0.5147861649180471,0.5668215274746734,0.6215037939454015,0.6770634821763685,0.7314849419747477,0.7829083698228656,0.8297435321389204,0.8707424605312071,0.9053508785818968,0.9332187536627703,0.9548738732360074,0.9709068613465491,0.9821156728876875,0.9896423204285315,0.9943708977595024,0.9971148946501371,0.9986324329777141,0.9994022060121763,0.9997516411451554,0.9999026082758469,0.9999666398490886,0.9999903404936167,0.9999979087666593,0.9999997012523799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.501388131873803e-08,2.250416439562141e-07,8.251526945061184e-07,2.850527490112045e-06,6.0011105054990425e-06,1.1552137723085658e-05,2.2354136632983932e-05,3.998239874288737e-05,7.29885065231321e-05,0.00013157434783306652,0.0002296174907166571,0.00040207440386843586,0.0007019799013807505,0.0011909953936976038,0.0019597376494520312,0.0031735372630705312,0.004988348093814761,0.007606257537957399,0.011334297411736041,0.01651655638875974,0.023421059066980346,0.03244965480862234,0.044049201304701434,0.058509702220395886,0.07605597415801794,0.09668359129856981,0.12018836585710185,0.1462431622971831,0.17422011443217567,0.20354664130597366,0.2336695155438514,0.2642716534694745,0.29525643720370454,0.327138236930744,0.3605552707528528,0.39656785988247123,0.4359631249762769,0.4792744897443272,0.5266459808387542,0.5773850701072234,0.6301684376693907,0.6837852844668906,0.7360692846211191,0.7855512162525675,0.8306740912405841,0.8703465326258624,0.9040502695023714,0.9315463826581108,0.9531538311164481,0.9693315498032911,0.980894564539168,0.988753018746119,0.9937562946023162,0.9967628509655712,0.9984379859492999,0.9992989952790764,0.999708421043314,0.999884928706057,0.9999614428650022,0.9999896480843781,0.9999978245974418,0.9999996249305934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.586364117408088e-08,7.586364117408088e-08,2.2759092352224264e-07,5.310454882185662e-07,1.365545541133456e-06,3.262136570485478e-06,6.448409499796875e-06,1.3352000846638235e-05,2.4428092458054044e-05,4.460782101035956e-05,7.836714133282555e-05,0.00013405105395460093,0.0002234184232576682,0.00037089734170008145,0.0006101712659631325,0.0009883515172159258,0.001584336282279505,0.0024907550670274234,0.0038295207428264287,0.005810396277522855,0.008584881362541342,0.012488065700947803,0.0177542162166878,0.024703477475515958,0.033712360728579235,0.0451038174963557,0.059161350205912885,0.07612635696346673,0.09599383076869972,0.11875102652989464,0.14402499858703968,0.17123918326721185,0.19963410965861741,0.22880239000815156,0.25840081720314273,0.28840276310553886,0.3191696421018932,0.3514565250128115,0.3862879503123496,0.42461600669724225,0.4669305456985505,0.5134310886925623,0.5635259751417607,0.6163156139891037,0.6701632471762604,0.7230531777572355,0.7734925610010056,0.8197466988884838,0.8607277826688753,0.8956853692036859,0.9244241096168924,0.9471386700117475,0.9644222281985912,0.9770171099063122,0.9858208578736407,0.991635350787787,0.9953249031126473,0.9975262383885956,0.9987763953315032,0.9994266226000063,0.9997528362570548,0.999903273857503,0.9999646475432129,0.9999888480447474,0.9999959033633766,0.9999989379090236,0.9999998482727177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
