j_gene,cdr3_length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
IGHJ0-32C2,15,0.0020940361853531,0.012236714608503,0.0438828044314935,0.1101186340515218,0.2150696127000873,0.3493548013025835,0.5070859278758999,0.6636044073636712,0.7980666866266118,0.8888855935798124,0.947128425987092,0.9806588735508716,0.9950305888256396,0.9990623865306236,0.999921402009984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,18,0.003750091379952,0.0162715718866954,0.0458426319317858,0.091306764191733,0.1591154498426963,0.2511279518191465,0.3672927695747198,0.503908938500413,0.6434820851663225,0.7675772387506133,0.864717234211463,0.929819704506054,0.9673341905629762,0.9866615150563308,0.9955470278335788,0.9988010605132244,0.999734478144504,0.9999548861686808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,21,0.0077243344715802,0.0380031858261522,0.0980358996681818,0.1887427552045647,0.2961422397093352,0.4059455518808235,0.5071112685746162,0.5980846185012932,0.6817341230127207,0.7609077116271256,0.8306832667682035,0.8875391275407839,0.93148151018171,0.9621628467520004,0.9813586005183424,0.9919745236359468,0.9969679914468016,0.9991077698695536,0.9997628274899516,0.9999274955646208,0.9999737061811822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,24,0.003582174101709,0.0218967793810603,0.070935439960004,0.1611303934978806,0.2793013031095198,0.4018904913677932,0.5183102085982748,0.6187310550196474,0.7011415350049884,0.768905996540002,0.8254274625764846,0.8738984832758742,0.91337197699604,0.9436493098491237,0.9662686771890198,0.98124045689201,0.9905602887047754,0.9957870008593314,0.9982561032957348,0.999362747326034,0.9998006180809288,0.9999640087496856,0.9999957152088856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,27,0.0009536020727085,0.0064016554911467,0.026197422573504,0.0726215149319889,0.1570649621596113,0.2782316910745213,0.4200399487044465,0.5553534769150932,0.6666792364033727,0.7540256838170075,0.8189442727567374,0.8664976229118485,0.90270529154845,0.9309096606022408,0.9532828704918186,0.9698812143509044,0.9818658355151002,0.9898757573979668,0.9948120129802236,0.9975240573060478,0.998976422649757,0.9996142264848442,0.9998753054403386,0.9999735911107356,0.999995163235042,0.9999996085207624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,30,0.0001390462824924,0.0010636868543158,0.0051435125025555,0.0176308851456047,0.0487905191916327,0.1090384319084409,0.2057635396170437,0.3349313437051605,0.4805595977680435,0.6200369207951372,0.7348729430649326,0.8200344924291035,0.8801441652679483,0.9205750705925436,0.9471174883694948,0.9648025140190948,0.9770930923136876,0.9858384094779056,0.99183141870245,0.9955874687121784,0.9978888871407302,0.9990505824156004,0.9996127563113956,0.9998530352444992,0.9999501452557158,0.9999847391190184,0.9999957723674296,0.9999989640166222,0.9999999133367168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,33,3.71841893739405e-05,0.0003046742075049,0.0014293888707767,0.0051376877866142,0.0149098016535706,0.0375405518277617,0.0820185482730137,0.1580219358433063,0.2677553049911535,0.4037876808713532,0.548104917068063,0.6796765723671729,0.784414193776497,0.8584149586717649,0.9074822634644172,0.9396689165902996,0.9605761428848671,0.9743308906086792,0.9836848630590308,0.9900772087093486,0.9942852450568026,0.9968965390637182,0.998424755740817,0.9992743920215492,0.9997010251050444,0.9998887009950442,0.999965891321774,0.9999899989821096,0.999998075411477,0.9999997929122948,0.9999998758214028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,36,1.7329850469096694e-05,0.0001712487352419,0.0007400974977605,0.0023900805533176,0.0063170861250584,0.0149297116113617,0.0323528790857598,0.0647294248622427,0.1191713035595792,0.2011331787759681,0.3100569335800253,0.4390983752410484,0.5732407983953769,0.6969454549512264,0.7982611502376541,0.8718523858961298,0.9204634148907456,0.9513880274415352,0.9705008900649474,0.9821294257866636,0.9892143777958124,0.9936061439194368,0.9963731699351468,0.9980417164191256,0.9989975591127276,0.999508811089057,0.9997873118879318,0.9999190304107156,0.9999718905342154,0.9999928099205166,0.9999981584841652,0.999999468055283,0.9999999590530528,0.9999999590530528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,39,4.92038669874692e-05,0.0003260697794452,0.0012267384910497,0.0033719326184337,0.0073689811759934,0.0140138871686672,0.0245778336557309,0.0412629069939448,0.0680237563668786,0.1105819373808581,0.1732311801069708,0.2581347642432361,0.3638613482453279,0.4821199828477253,0.6026375997805814,0.7143239137730509,0.8080369269381331,0.8790787931660802,0.927526973416784,0.9581528599313526,0.9765109782927064,0.986924854758096,0.992786220381622,0.9959939334002856,0.9977889884717976,0.9988052118485752,0.9993774440167106,0.9996978608949132,0.9998638934704132,0.9999474279863418,0.999982726172742,0.999995151257887,0.9999986871274748,0.999999753311424,0.9999999588852374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,42,6.54915815042543e-05,0.0004652457672368,0.0018308253540723,0.0050657313651599,0.0108924320669064,0.0197411776313469,0.0315320340455238,0.0462557775640607,0.0647724946253031,0.0899928126793273,0.1265556594059159,0.178390596709379,0.2482119187951326,0.3335434547994612,0.4314644990605041,0.5352522935255659,0.6390190190847534,0.7353266029958205,0.8189661959290718,0.884791165157578,0.9318269747257226,0.9623640417909346,0.9803558368285824,0.9902862039606564,0.995389421764238,0.9978337734209564,0.9989557603171916,0.9994894853243838,0.99974898249482,0.9998776136051792,0.9999420244168654,0.9999759731363218,0.9999910309027318,0.9999968629720108,0.9999989269856676,0.9999995458764488,0.9999998348641632,0.9999999587160407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
